stim,N_x,leak_rate,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,800,0.5,136,723,0.11270263420813792,0.5804062377294879
10-6,1000,0.5,136,723,0.11196570536489524,0.5766111347987887
10-6,1200,0.5,136,723,0.11179127285655556,0.5757128264618586
10-6,400,0.7,136,723,0.12574550642499957,0.6475756028979598
10-6,600,0.7,136,723,0.12485126571448082,0.6429703610589962
10-6,800,0.7,136,723,0.12634659303522427,0.6506711331882794
10-6,1000,0.7,136,723,0.125536746554331,0.6465005124000761
10-6,1200,0.7,136,723,0.12523830554092288,0.6449635738272252
10-6,400,0.9,136,723,0.13306238265336343,0.6852567150873531
10-6,600,0.9,136,723,0.1322395628933071,0.6810192833305957
10-6,800,0.9,136,723,0.13367492101323752,0.6884112206356701
10-6,1000,0.9,136,723,0.13269708410460943,0.6833754675209582
10-6,1200,0.9,136,723,0.1323633916188424,0.6816569877215867
10-6,400,0.1,136,724,0.0912355344595875,0.46985302229168835
10-6,600,0.1,136,724,0.0826214443337802,0.4254914004315532
10-6,800,0.1,136,724,0.0823221804493224,0.4239502241628097
10-6,1000,0.1,136,724,0.08249997968168844,0.42486587076019255
10-6,1200,0.1,136,724,0.08463432449748612,0.435857513087441
10-6,400,0.3,136,724,0.09176626001700917,0.4725862008568062
10-6,600,0.3,136,724,0.09208055424586153,0.4742047817550255
10-6,800,0.3,136,724,0.09176123806078504,0.47256033833159933
10-6,1000,0.3,136,724,0.09237433889466362,0.4757177405595109
10-6,1200,0.3,136,724,0.09182399669127492,0.47288353841351055
10-6,400,0.5,136,724,0.11099135265947613,0.5715933249494691
10-6,600,0.5,136,724,0.11061727653639847,0.5696668738354785
10-6,800,0.5,136,724,0.11052107008509965,0.569171421135229
10-6,1000,0.5,136,724,0.1123367173596356,0.5785218059870244
10-6,1200,0.5,136,724,0.11125304887433089,0.5729410318292515
10-6,400,0.7,136,724,0.12502937448795037,0.6438876017592017
10-6,600,0.7,136,724,0.12451484248927092,0.6412378182502071
