stim,leak_rate,N_x,RMSE,NRMSE,csv_seed,reservoir_seed
10-5,0.3,600,0.14273326169851538,0.7794393381263804,126,724
10-5,0.3,800,0.1169003562797188,0.6383707290166257,126,724
10-5,0.3,1000,0.12327445803211451,0.6731784927565976,126,724
10-5,0.3,1200,0.10272159085894157,0.5609431735645333,126,724
10-5,0.5,400,0.14594641220684534,0.796985745149595,126,724
10-5,0.5,600,0.15033110719746556,0.8209297349436054,126,724
10-5,0.5,800,0.14382877764209695,0.7854217434312891,126,724
10-5,0.5,1000,0.14336533135972995,0.7828909509636702,126,724
10-5,0.5,1200,0.13486396366327633,0.7364665903651643,126,724
10-5,0.7,400,0.1503523618571618,0.8210458026189923,126,724
10-5,0.7,600,0.14962658072887128,0.8170824491894724,126,724
10-5,0.7,800,0.14652903094889572,0.8001673158730537,126,724
10-5,0.7,1000,0.14492178869424277,0.7913904699979728,126,724
10-5,0.7,1200,0.14410645575851133,0.7869380910905148,126,724
10-5,0.9,400,0.15644010866131774,0.8542898361627284,126,724
10-5,0.9,600,0.15339237810601225,0.8376467562068278,126,724
10-5,0.9,800,0.1501469111526169,0.8199238751911282,126,724
10-5,0.9,1000,0.1496092216661954,0.8169876546323973,126,724
10-5,0.9,1200,0.1486039828180535,0.8114982354659692,126,724
10-5,0.1,400,0.07518830157817141,0.41058908988377846,126,725
10-5,0.1,600,0.09505885254952433,0.5190984093865564,126,725
10-5,0.1,800,0.06895748181197754,0.3765637619626312,126,725
10-5,0.1,1000,0.08502736861322348,0.46431837348818894,126,725
10-5,0.1,1200,0.08113315665219561,0.44305281872325525,126,725
10-5,0.3,400,0.146839896687449,0.8018648948579432,126,725
10-5,0.3,600,0.13223332920212,0.7221011932681156,126,725
10-5,0.3,800,0.11993214619526418,0.6549267601546397,126,725
10-5,0.3,1000,0.12462978913233623,0.6805796994769363,126,725
10-5,0.3,1200,0.11809492015848198,0.6448940163564717,126,725
10-5,0.5,400,0.15050906036545472,0.821901503526656,126,725
10-5,0.5,600,0.14678545110174915,0.8015675778151125,126,725
10-5,0.5,800,0.14246994790450684,0.7780014313141962,126,725
10-5,0.5,1000,0.14507704287780804,0.7922382837215537,126,725
10-5,0.5,1200,0.13970261581999027,0.7628895543580912,126,725
10-5,0.7,400,0.15334593747539954,0.8373931527092535,126,725
10-5,0.7,600,0.14674711667189866,0.8013582407462712,126,725
10-5,0.7,800,0.14590146472514465,0.7967402954557371,126,725
10-5,0.7,1000,0.14602803317570284,0.7974314618184811,126,725
10-5,0.7,1200,0.14514120702973307,0.792588672015864,126,725
10-5,0.9,400,0.1582884809121417,0.8643834473270025,126,725
10-5,0.9,600,0.15077826888623877,0.8233716003265255,126,725
10-5,0.9,800,0.15138975490438072,0.826710809783259,126,725
10-5,0.9,1000,0.14874278072494562,0.8122561845760359,126,725
10-5,0.9,1200,0.15016133044772198,0.8200026162336799,126,725
10-5,0.1,400,0.07832683400556524,0.42772802168415414,136,721
10-5,0.1,600,0.07991648716708177,0.4364088168493349,136,721
10-5,0.1,800,0.07616788267815199,0.4159383969417416,136,721
10-5,0.1,1000,0.07008443797021487,0.3827178563315339,136,721
10-5,0.1,1200,0.10139942868913576,0.5537230960978954,136,721
10-5,0.3,400,0.12857079177800504,0.7021007693182651,136,721
10-5,0.3,600,0.12345602765694974,0.6741700101262795,136,721
10-5,0.3,800,0.1215072602269184,0.6635281598823313,136,721
10-5,0.3,1000,0.12233590549550906,0.6680532349209449,136,721
10-5,0.3,1200,0.11957513170110881,0.6529771715463883,136,721
