stim,leak_rate1,leak_rate2,RMSE,NRMSE,csv_seed,reservoir_seed
10-6,0.7,0.3,0.09912379934432762,0.4900454863062853,136,723
10-6,0.7,0.5,0.09701021057494423,0.4795963848473504,136,723
10-6,0.7,0.7,0.10303324172633857,0.50937287898041,136,723
10-6,0.7,0.9,0.10483416936636963,0.5182762550313599,136,723
10-6,0.9,0.1,0.07041657368573857,0.348123501359967,136,723
10-6,0.9,0.3,0.0994942679678809,0.49187699879865604,136,723
10-6,0.9,0.5,0.09864083774145627,0.48765783414694647,136,723
10-6,0.9,0.7,0.10534449180462756,0.5207991729288106,136,723
10-6,0.9,0.9,0.11439929066719831,0.5655640360733346,136,723
10-6,0.1,0.1,0.058033302558473734,0.28690342947245473,136,724
10-6,0.1,0.3,0.06876577000983766,0.33996230399360156,136,724
10-6,0.1,0.5,0.06979100829152936,0.345030848537442,136,724
10-6,0.1,0.7,0.07018859286294163,0.3469964160997668,136,724
10-6,0.1,0.9,0.07047957002816596,0.34843494092810856,136,724
10-6,0.3,0.1,0.0880931896946326,0.43551266466511274,136,724
10-6,0.3,0.3,0.09511705230496445,0.4702370415695133,136,724
10-6,0.3,0.5,0.10009258665395011,0.49483495010218126,136,724
10-6,0.3,0.7,0.09968599959485425,0.49282487629126576,136,724
10-6,0.3,0.9,0.09940587196577141,0.4914399890983842,136,724
10-6,0.5,0.1,0.08988245421124696,0.4443583808904265,136,724
10-6,0.5,0.3,0.09231510814390405,0.45638486784239235,136,724
10-6,0.5,0.5,0.09467192393085559,0.4680364282758161,136,724
10-6,0.5,0.7,0.09832140198471198,0.48607861652420786,136,724
10-6,0.5,0.9,0.0994403084792188,0.49161023537718546,136,724
10-6,0.7,0.1,0.09177003518909314,0.4536901513063075,136,724
10-6,0.7,0.3,0.09256338540227643,0.4576122940571125,136,724
10-6,0.7,0.5,0.09705692385138298,0.4798273246460749,136,724
10-6,0.7,0.7,0.10196109953706,0.5040724522008692,136,724
10-6,0.7,0.9,0.10632824214529134,0.5256626105420112,136,724
10-6,0.9,0.1,0.09223270253669749,0.45597747329007476,136,724
10-6,0.9,0.3,0.09251385682266727,0.45736743604076147,136,724
10-6,0.9,0.5,0.09824799283584808,0.48571569841279266,136,724
10-6,0.9,0.7,0.10342238141594719,0.5112966969706073,136,724
10-6,0.9,0.9,0.112214067630587,0.5547607911135239,136,724
10-6,0.1,0.1,0.057972520738987815,0.2866029380013289,136,725
10-6,0.1,0.3,0.08947421206479575,0.44234012470460915,136,725
10-6,0.1,0.5,0.09072418646210466,0.44851971341540753,136,725
10-6,0.1,0.7,0.09180829819373881,0.45387931488602457,136,725
10-6,0.1,0.9,0.09219188864535661,0.45577569870755785,136,725
10-6,0.3,0.1,0.06208783456293851,0.3069481121925995,136,725
10-6,0.3,0.3,0.08759335304637467,0.4330415861250499,136,725
10-6,0.3,0.5,0.09080027772064572,0.4488958912661564,136,725
10-6,0.3,0.7,0.0926244553809449,0.45791421012160216,136,725
10-6,0.3,0.9,0.09290418046409055,0.45929710721905914,136,725
10-6,0.5,0.1,0.06307033792804104,0.3118053850426517,136,725
10-6,0.5,0.3,0.08526043653869073,0.4215081782847323,136,725
10-6,0.5,0.5,0.0958596814057901,0.4739084306936846,136,725
10-6,0.5,0.7,0.09702376403878989,0.4796633900855002,136,725
10-6,0.5,0.9,0.09850638826511633,0.48699314655978326,136,725
10-6,0.7,0.1,0.06347003562541201,0.3137813994184048,136,725
10-6,0.7,0.3,0.08594805945649302,0.4249076293689189,136,725
10-6,0.7,0.5,0.09830093227319393,0.48597741893289514,136,725
10-6,0.7,0.7,0.10055083371716632,0.4971004192067517,136,725
10-6,0.7,0.9,0.10183063234490439,0.5034274521196594,136,725
10-6,0.9,0.1,0.06359280816008657,0.31438835886565786,136,725
10-6,0.9,0.3,0.08577827036482139,0.4240682307729399,136,725
10-6,0.9,0.5,0.09871087619996106,0.48800408833297604,136,725
10-6,0.9,0.7,0.1040550400372135,0.5144244170920622,136,725
10-6,0.9,0.9,0.10973082696620526,0.5424842148821657,136,725
10-6,0.1,0.1,0.08282677424588966,0.4094767062298911,146,721
10-6,0.1,0.3,0.11845446461476701,0.5856118924139683,146,721
10-6,0.1,0.5,0.11757908795090052,0.5812842295743359,146,721
10-6,0.1,0.7,0.11756537952465354,0.58121645823737,146,721
10-6,0.1,0.9,0.1174892725160177,0.5808402025217401,146,721
10-6,0.3,0.1,0.058220527776875766,0.2878290283075227,146,721
10-6,0.3,0.3,0.10005702004825846,0.494659116904728,146,721
10-6,0.3,0.5,0.10462262610748596,0.5172304333431258,146,721
10-6,0.3,0.7,0.10457527176212023,0.516996324245644,146,721
10-6,0.3,0.9,0.10468126161495558,0.5175203139365133,146,721
10-6,0.5,0.1,0.05921055895009184,0.2927235169262625,146,721
10-6,0.5,0.3,0.09784477116735392,0.48372226232646937,146,721
10-6,0.5,0.5,0.09465696127571874,0.4679624563168973,146,721
10-6,0.5,0.7,0.09696392306054574,0.4793675499191762,146,721
10-6,0.5,0.9,0.09736300840781878,0.4813405369755215,146,721
10-6,0.7,0.1,0.06043038019529598,0.29875403532110656,146,721
10-6,0.7,0.3,0.09786857601935567,0.483839948092681,146,721
10-6,0.7,0.5,0.09404965002153115,0.46496004780485245,146,721
10-6,0.7,0.7,0.10231121228051114,0.5058033298585198,146,721
10-6,0.7,0.9,0.10667962336598538,0.5273997592622268,146,721
10-6,0.9,0.1,0.061174631359141536,0.3024334435553873,146,721
10-6,0.9,0.3,0.09797415729888495,0.48436191789018684,146,721
10-6,0.9,0.5,0.094198547851884,0.4656961647633212,146,721
10-6,0.9,0.7,0.1027531043184726,0.5079879434434519,146,721
10-6,0.9,0.9,0.11298782701129823,0.5585860812508353,146,721
10-6,0.1,0.1,0.06828344342646342,0.33757779122601655,146,722
10-6,0.1,0.3,0.05732450513807448,0.2833992964703931,146,722
10-6,0.1,0.5,0.058991802403612556,0.2916420343871425,146,722
10-6,0.1,0.7,0.060402774891614955,0.29861756098743003,146,722
10-6,0.1,0.9,0.061366382042803216,0.30338141525992357,146,722
10-6,0.3,0.1,0.0725048294904581,0.35844736241175046,146,722
