[I 2024-11-06 00:54:34,400] Using an existing study with name 'reproduct_sample08' instead of creating a new one.
[I 2024-11-06 05:17:12,951] Trial 932 finished with value: 0.23772581502815507 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.040648361625143646, 'nodeNum_02': 200, 'leaking_rate_02': 0.009457751159528899, 'nodeNum_03': 600, 'leaking_rate_03': 0.05885045332488451, 'nodeNum_04': 500, 'leaking_rate_04': 0.023329216923627022, 'tikhonov_beta': 1.2515237658265784e-07, 'intensity': 1.90930655682667}. Best is trial 883 with value: 0.21901890427195222.
[I 2024-11-06 05:22:52,989] Trial 952 finished with value: 0.2242173076595681 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.013203987462958998, 'nodeNum_02': 250, 'leaking_rate_02': 0.045685702547757924, 'nodeNum_03': 600, 'leaking_rate_03': 0.0687327895847353, 'nodeNum_04': 500, 'leaking_rate_04': 0.08849223816304826, 'tikhonov_beta': 1.30417693276334e-07, 'intensity': 1.9206068821511273}. Best is trial 883 with value: 0.21901890427195222.
[I 2024-11-06 05:28:26,236] Trial 971 finished with value: 0.2333976636506186 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.01145370012065626, 'nodeNum_02': 200, 'leaking_rate_02': 0.03907313401470426, 'nodeNum_03': 600, 'leaking_rate_03': 0.005090380070747939, 'nodeNum_04': 450, 'leaking_rate_04': 0.09192806727694829, 'tikhonov_beta': 3.733350471888635e-07, 'intensity': 1.8496166802958878}. Best is trial 883 with value: 0.21901890427195222.
[I 2024-11-06 05:33:56,259] Trial 991 finished with value: 0.22861864433056273 and parameters: {'nodeNum_01': 150, 'leaking_rate_01': 0.010204872284209144, 'nodeNum_02': 200, 'leaking_rate_02': 0.03851428311371577, 'nodeNum_03': 600, 'leaking_rate_03': 0.05701420897471354, 'nodeNum_04': 450, 'leaking_rate_04': 0.07686240568325572, 'tikhonov_beta': 1.8886563579371285e-07, 'intensity': 1.939951532885495}. Best is trial 883 with value: 0.21901890427195222.
[I 2024-11-06 05:39:28,454] Trial 1011 finished with value: 0.22953498465208771 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.010136889125988483, 'nodeNum_02': 150, 'leaking_rate_02': 0.03303587886004412, 'nodeNum_03': 550, 'leaking_rate_03': 0.0074502706054796145, 'nodeNum_04': 500, 'leaking_rate_04': 0.08387599961075887, 'tikhonov_beta': 1.0007526017693216e-07, 'intensity': 1.9390272088567448}. Best is trial 883 with value: 0.21901890427195222.
[I 2024-11-06 05:45:09,896] Trial 1030 finished with value: 0.21957929644345187 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.013015925264430229, 'nodeNum_02': 200, 'leaking_rate_02': 0.04276687855302896, 'nodeNum_03': 600, 'leaking_rate_03': 0.060102531948390193, 'nodeNum_04': 500, 'leaking_rate_04': 0.09883770919859464, 'tikhonov_beta': 1.3727041571726743e-07, 'intensity': 1.8980354117117484}. Best is trial 883 with value: 0.21901890427195222.
[I 2024-11-06 05:50:51,351] Trial 1051 finished with value: 0.22197489133348805 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.016563965640710627, 'nodeNum_02': 200, 'leaking_rate_02': 0.04649055537811653, 'nodeNum_03': 600, 'leaking_rate_03': 0.06029370214748785, 'nodeNum_04': 500, 'leaking_rate_04': 0.09223962269469659, 'tikhonov_beta': 2.6492781469790527e-07, 'intensity': 1.9998406017403534}. Best is trial 883 with value: 0.21901890427195222.
[I 2024-11-06 05:56:30,937] Trial 1071 finished with value: 0.23341978747478576 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.015012789517205721, 'nodeNum_02': 200, 'leaking_rate_02': 0.047638672381370116, 'nodeNum_03': 600, 'leaking_rate_03': 0.0011101525487392581, 'nodeNum_04': 500, 'leaking_rate_04': 0.08510319303150402, 'tikhonov_beta': 1.7086621627288782e-07, 'intensity': 1.8235141387299245}. Best is trial 883 with value: 0.21901890427195222.
[I 2024-11-06 06:02:11,940] Trial 1091 finished with value: 0.22145704559173895 and parameters: {'nodeNum_01': 200, 'leaking_rate_01': 0.012106899471658895, 'nodeNum_02': 200, 'leaking_rate_02': 0.03739382197503189, 'nodeNum_03': 600, 'leaking_rate_03': 0.04522426465834675, 'nodeNum_04': 500, 'leaking_rate_04': 0.0840340156810715, 'tikhonov_beta': 1.003897877488792e-07, 'intensity': 1.9604194114105904}. Best is trial 1087 with value: 0.21868228676958854.
[I 2024-11-06 06:07:52,400] Trial 1111 finished with value: 0.2198216120538466 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.016678646785079514, 'nodeNum_02': 200, 'leaking_rate_02': 0.03984508978567633, 'nodeNum_03': 600, 'leaking_rate_03': 0.046412652646435855, 'nodeNum_04': 500, 'leaking_rate_04': 0.09944366134971469, 'tikhonov_beta': 1.2320768957936832e-07, 'intensity': 1.9998763184609358}. Best is trial 1092 with value: 0.2183747383204604.
[I 2024-11-06 06:13:34,821] Trial 1131 finished with value: 0.22178614183055564 and parameters: {'nodeNum_01': 400, 'leaking_rate_01': 0.016990797489971392, 'nodeNum_02': 200, 'leaking_rate_02': 0.041860951280372066, 'nodeNum_03': 600, 'leaking_rate_03': 0.03747822494690249, 'nodeNum_04': 550, 'leaking_rate_04': 0.0990995402200039, 'tikhonov_beta': 1.001149074379952e-07, 'intensity': 1.9964938272555675}. Best is trial 1092 with value: 0.2183747383204604.
