stim,leak_rate,tikhonov_beta,csv_seed,reservoir_seed,RMSE,NRMSE
10-6,0.7,1e-07,136,722,0.47133391645920536,2.5342401187339543
10-6,0.9,0.001,136,722,0.13906225385006432,0.7477016408151915
10-6,0.9,0.0001,136,722,0.13736578886319933,0.7385801889535519
10-6,0.9,1e-05,136,722,0.13530921516271968,0.7275225260167499
10-6,0.9,1e-06,136,722,0.13350168101541637,0.717803884111051
10-6,0.9,1e-07,136,722,0.13419510351717803,0.7215322369026316
10-6,0.1,0.001,136,723,0.0768524982810925,0.4132159336887734
10-6,0.1,0.0001,136,723,0.0756459679014647,0.40672873303176593
10-6,0.1,1e-05,136,723,0.07092113155425323,0.3813245144779499
10-6,0.1,1e-06,136,723,0.06315534475042685,0.33956989469663634
10-6,0.1,1e-07,136,723,0.052978013139594285,0.28484902448303806
10-6,0.3,0.001,136,723,0.0922275489925094,0.4958835902689553
10-6,0.3,0.0001,136,723,0.08728616795118602,0.46931506710612675
10-6,0.3,1e-05,136,723,0.08392067737957765,0.45121969792526495
10-6,0.3,1e-06,136,723,0.0818999742726593,0.4403549018586614
10-6,0.3,1e-07,136,723,0.1432351312909349,0.7701381196085215
10-6,0.5,0.001,136,723,0.11860477375396179,0.6377070807436132
10-6,0.5,0.0001,136,723,0.11363006626290202,0.6109593699115174
10-6,0.5,1e-05,136,723,0.1087487674415305,0.5847138932490733
10-6,0.5,1e-06,136,723,0.10394509305333376,0.5588857830138604
10-6,0.5,1e-07,136,723,0.10080697732228053,0.5420129493281192
10-6,0.7,0.001,136,723,0.13248822941339788,0.7123548179213643
10-6,0.7,0.0001,136,723,0.12934606677537505,0.695460225067354
10-6,0.7,1e-05,136,723,0.12606794654724568,0.6778346235435609
10-6,0.7,1e-06,136,723,0.12282929776546211,0.66042124974067
10-6,0.7,1e-07,136,723,0.12306292620901106,0.6616774092357619
10-6,0.9,0.001,136,723,0.13941556009589764,0.7496012767868957
10-6,0.9,0.0001,136,723,0.1373747537649318,0.7386283909030352
10-6,0.9,1e-05,136,723,0.13506657198564173,0.7262178966395402
10-6,0.9,1e-06,136,723,0.13305610263605397,0.7154081248295983
10-6,0.9,1e-07,136,723,0.1323239682473509,0.7114716282708646
10-6,0.1,0.001,136,724,0.07759115687148814,0.41718750918643893
10-6,0.1,0.0001,136,724,0.07568325262013219,0.4069292032855781
10-6,0.1,1e-05,136,724,0.07144486318672885,0.38414048351417057
10-6,0.1,1e-06,136,724,0.062396617528865786,0.3354904153786611
10-6,0.1,1e-07,136,724,0.052040564934883564,0.2798086088315184
10-6,0.3,0.001,136,724,0.09276506519942883,0.49877367538372513
10-6,0.3,0.0001,136,724,0.08749574565654143,0.47044191202510444
10-6,0.3,1e-05,136,724,0.08416888275970685,0.4525542338244304
10-6,0.3,1e-06,136,724,0.08202272235922756,0.4410148864568757
10-6,0.3,1e-07,136,724,0.18360350539359138,0.987188388232395
10-6,0.5,0.001,136,724,0.11900479492208794,0.6398578907261064
10-6,0.5,0.0001,136,724,0.11370273646021982,0.6113500986985789
10-6,0.5,1e-05,136,724,0.10833824941639845,0.5825066443912603
10-6,0.5,1e-06,136,724,0.10300216768336341,0.5538159180665164
10-6,0.5,1e-07,136,724,0.15137528157764726,0.8139055946590797
10-6,0.7,0.001,136,724,0.13265081968447145,0.7132290236033273
10-6,0.7,0.0001,136,724,0.12932789352554916,0.695362512220499
10-6,0.7,1e-05,136,724,0.1256498180896649,0.6755864553660068
10-6,0.7,1e-06,136,724,0.12241646137332542,0.6582015356252806
10-6,0.7,1e-07,136,724,0.12606144404736042,0.6777996612896134
10-6,0.9,0.001,136,724,0.13950689143411638,0.7500923416844747
10-6,0.9,0.0001,136,724,0.137298894424257,0.7382205149199891
10-6,0.9,1e-05,136,724,0.13493913409919667,0.7255326962047786
10-6,0.9,1e-06,136,724,0.1327943833466417,0.714000928148193
10-6,0.9,1e-07,136,724,0.13397911159105227,0.7203709043835916
10-6,0.1,0.001,136,725,0.08424485407113488,0.45296271184515097
10-6,0.1,0.0001,136,725,0.08460727574659403,0.45491135911574654
10-6,0.1,1e-05,136,725,0.07912502152082854,0.4254347012414216
10-6,0.1,1e-06,136,725,0.07031390640934715,0.3780596224988508
10-6,0.1,1e-07,136,725,0.06208776287096035,0.333829784056388
10-6,0.3,0.001,136,725,0.09363452682302065,0.5034485448366995
10-6,0.3,0.0001,136,725,0.08867231128509989,0.47676799999393904
10-6,0.3,1e-05,136,725,0.08565336044239429,0.4605358849797156
10-6,0.3,1e-06,136,725,0.08338326353259937,0.44833016317332786
10-6,0.3,1e-07,136,725,0.08383397254711004,0.4507535085481495
10-6,0.5,0.001,136,725,0.12015955732726043,0.6460667484225313
10-6,0.5,0.0001,136,725,0.11582288528742342,0.6227495885887812
10-6,0.5,1e-05,136,725,0.11115832602098627,0.5976694642514094
10-6,0.5,1e-06,136,725,0.10575667495986082,0.5686261886701777
10-6,0.5,1e-07,136,725,0.10455625771495608,0.5621718567517129
10-6,0.7,0.001,136,725,0.13341206713002182,0.7173220535114868
10-6,0.7,0.0001,136,725,0.13092175746397527,0.7039323048781263
10-6,0.7,1e-05,136,725,0.1276193357367607,0.6861760405019975
10-6,0.7,1e-06,136,725,0.12420675756509644,0.6678274935187551
10-6,0.7,1e-07,136,725,0.1711733633673213,0.9203547412052961
10-6,0.9,0.001,136,725,0.14019565876529008,0.753795664832205
10-6,0.9,0.0001,136,725,0.1382115370933137,0.7431275576453817
10-6,0.9,1e-05,136,725,0.13605111073166623,0.7315115059078204
10-6,0.9,1e-06,136,725,0.13409851540340037,0.7210129076874394
10-6,0.9,1e-07,136,725,0.13342489356988582,0.7173910179491154
10-6,0.1,0.001,146,721,0.0809635985334764,0.4353202525758915
10-6,0.1,0.0001,146,721,0.07958165379314755,0.4278898944359042
10-6,0.1,1e-05,146,721,0.07583617602220577,0.4077514327222787
10-6,0.1,1e-06,146,721,0.06821753721829087,0.3667879895394338
10-6,0.1,1e-07,146,721,0.05826470845182956,0.3132742128429955
10-6,0.3,0.001,146,721,0.09145058205075764,0.49170604071022805
10-6,0.3,0.0001,146,721,0.08636939463148358,0.46438581494445696
10-6,0.3,1e-05,146,721,0.0835280519990979,0.4491086531731288
10-6,0.3,1e-06,146,721,0.08210950831379325,0.44148151200645475
10-6,0.3,1e-07,146,721,0.08425539219206947,0.4530193725859038
10-6,0.5,0.001,146,721,0.1181252196646582,0.6351286428893085
10-6,0.5,0.0001,146,721,0.11329818607319554,0.6091749362817768
10-6,0.5,1e-05,146,721,0.10894985545785506,0.5857950913139073
10-6,0.5,1e-06,146,721,0.1044872352486536,0.5618007408674333
10-6,0.5,1e-07,146,721,0.09988978459472204,0.5370814421192784
10-6,0.7,0.001,146,721,0.13216213010929992,0.7106014666129236
10-6,0.7,0.0001,146,721,0.12935421409881687,0.6955040311105977
10-6,0.7,1e-05,146,721,0.12612701119673742,0.6781521988317247
10-6,0.7,1e-06,146,721,0.12246314980023813,0.6584525671772887
10-6,0.7,1e-07,146,721,0.12044945286251846,0.6476254414637871
10-6,0.9,0.001,146,721,0.13932380898764654,0.7491079548948175
10-6,0.9,0.0001,146,721,0.13741333505253323,0.7388358324714385
